monat_jahr;jahr;monat;altersklasse;geschlecht;staat_d;kreis;quartiergruppe;anzahl
2023-01;2023;1;0-17;M;Ausland;Kreis Ost;Rotmonten;57
2023-01;2023;1;0-17;M;Ausland;Kreis West;Lachen;251
2023-01;2023;1;0-17;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;182
2023-01;2023;1;0-17;M;Schweiz;Kreis Ost;Notkersegg;123
2023-01;2023;1;0-17;M;Schweiz;Kreis West;Bruggen;788
2023-01;2023;1;0-17;M;Schweiz;Kreis West;Winkeln;371
2023-01;2023;1;0-17;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;66
2023-01;2023;1;0-17;W;Ausland;Kreis Centrum;Rosenberg;131
2023-01;2023;1;0-17;W;Ausland;Nicht zuteilbar;nicht zuteilbar;7
2023-01;2023;1;0-17;W;Schweiz;Kreis Centrum;Rosenberg;115
2023-01;2023;1;0-17;W;Schweiz;Kreis Ost;St.Fiden;333
2023-01;2023;1;0-17;W;Schweiz;Kreis West;Bruggen;729
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;445
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;Riethüsli;293
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;Rosenberg;444
2023-01;2023;1;18-39;M;Ausland;Kreis Centrum;St.Jakob;468
2023-01;2023;1;18-39;M;Schweiz;Kreis Centrum;Riethüsli;598
2023-01;2023;1;18-39;M;Schweiz;Kreis West;Winkeln;456
2023-01;2023;1;18-39;W;Ausland;Kreis Centrum;Innenstadt;232
2023-01;2023;1;18-39;W;Ausland;Kreis Centrum;Rosenberg;331
2023-01;2023;1;18-39;W;Ausland;Kreis Centrum;St.Jakob;282
2023-01;2023;1;18-39;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;626
2023-01;2023;1;18-39;W;Ausland;Kreis West;Lachen;528
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Innenstadt;534
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;687
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Riethüsli;585
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;Rosenberg;695
2023-01;2023;1;18-39;W;Schweiz;Kreis Centrum;St.Jakob;526
2023-01;2023;1;18-39;W;Schweiz;Kreis Ost;Neudorf;805
2023-01;2023;1;40-59;M;Ausland;Kreis Centrum;Riethüsli;184
2023-01;2023;1;40-59;M;Ausland;Kreis Centrum;St.Jakob;144
2023-01;2023;1;40-59;M;Schweiz;Kreis Ost;Neudorf;669
2023-01;2023;1;40-59;M;Schweiz;Kreis Ost;Rotmonten;236
2023-01;2023;1;40-59;M;Schweiz;Kreis West;Lachen;480
2023-01;2023;1;40-59;W;Ausland;Kreis Centrum;Innenstadt;78
2023-01;2023;1;40-59;W;Ausland;Kreis Centrum;Riethüsli;158
2023-01;2023;1;40-59;W;Ausland;Kreis Centrum;St.Jakob;135
2023-01;2023;1;40-59;W;Ausland;Kreis Ost;Notkersegg;47
2023-01;2023;1;40-59;W;Schweiz;Kreis Ost;Notkersegg;186
2023-01;2023;1;60-79;M;Ausland;Kreis Centrum;Innenstadt;46
2023-01;2023;1;60-79;M;Ausland;Kreis Centrum;St.Jakob;42
2023-01;2023;1;60-79;M;Ausland;Nicht zuteilbar;nicht zuteilbar;12
2023-01;2023;1;60-79;M;Schweiz;Kreis Centrum;Riethüsli;293
2023-01;2023;1;60-79;M;Schweiz;Kreis Centrum;St.Jakob;204
2023-01;2023;1;60-79;M;Schweiz;Kreis Ost;Notkersegg;154
2023-01;2023;1;60-79;M;Schweiz;Kreis Ost;St.Fiden;424
2023-01;2023;1;60-79;M;Schweiz;Kreis West;Bruggen;876
2023-01;2023;1;60-79;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;38
2023-01;2023;1;60-79;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;150
2023-01;2023;1;60-79;W;Ausland;Kreis Ost;Notkersegg;23
2023-01;2023;1;60-79;W;Schweiz;Kreis Ost;Neudorf;939
2023-01;2023;1;60-79;W;Schweiz;Kreis Ost;Notkersegg;201
2023-01;2023;1;60-79;W;Schweiz;Kreis West;Bruggen;1039
2023-01;2023;1;80+;M;Ausland;Kreis Centrum;Innenstadt;6
2023-01;2023;1;80+;M;Ausland;Kreis Centrum;Riethüsli;9
2023-01;2023;1;80+;M;Schweiz;Kreis Centrum;Riethüsli;42
2023-01;2023;1;80+;W;Ausland;Kreis Centrum;Innenstadt;2
2023-01;2023;1;80+;W;Ausland;Kreis Centrum;St.Jakob;14
2023-01;2023;1;80+;W;Ausland;Kreis Ost;Notkersegg;6
2023-01;2023;1;80+;W;Ausland;Kreis Ost;Rotmonten;12
2023-01;2023;1;80+;W;Ausland;Kreis West;Winkeln;11
2023-01;2023;1;80+;W;Ausland;Nicht zuteilbar;nicht zuteilbar;3
2023-01;2023;1;80+;W;Schweiz;Kreis Ost;Notkersegg;77
2023-02;2023;2;0-17;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;326
2023-02;2023;2;0-17;M;Ausland;Kreis Ost;Rotmonten;57
2023-02;2023;2;0-17;M;Schweiz;Kreis Centrum;Riethüsli;228
2023-02;2023;2;0-17;M;Schweiz;Kreis Centrum;Rosenberg;152
2023-02;2023;2;0-17;M;Schweiz;Kreis Centrum;St.Georgen;401
2023-02;2023;2;0-17;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;66
2023-02;2023;2;0-17;W;Ausland;Kreis Centrum;Riethüsli;100
2023-02;2023;2;0-17;W;Ausland;Kreis Centrum;Rosenberg;123
2023-02;2023;2;0-17;W;Ausland;Kreis Ost;Notkersegg;35
2023-02;2023;2;0-17;W;Ausland;Kreis West;Lachen;249
2023-02;2023;2;0-17;W;Schweiz;Kreis Centrum;Rosenberg;116
2023-02;2023;2;0-17;W;Schweiz;Kreis Ost;Notkersegg;140
2023-02;2023;2;18-39;M;Ausland;Kreis Centrum;Rosenberg;474
2023-02;2023;2;18-39;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;788
2023-02;2023;2;18-39;M;Ausland;Kreis Ost;Rotmonten;142
2023-02;2023;2;18-39;M;Schweiz;Kreis Centrum;St.Georgen;625
2023-02;2023;2;18-39;M;Schweiz;Kreis Ost;Rotmonten;266
2023-02;2023;2;18-39;M;Schweiz;Kreis West;Bruggen;1426
2023-02;2023;2;18-39;M;Schweiz;Kreis West;Winkeln;460
2023-02;2023;2;18-39;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;39
2023-02;2023;2;18-39;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;304
2023-02;2023;2;18-39;W;Ausland;Kreis Centrum;Riethüsli;272
2023-02;2023;2;18-39;W;Ausland;Kreis Centrum;St.Georgen;206
2023-02;2023;2;18-39;W;Ausland;Kreis West;Bruggen;799
2023-02;2023;2;18-39;W;Schweiz;Kreis West;Lachen;864
2023-02;2023;2;40-59;M;Ausland;Kreis Centrum;St.Jakob;147
2023-02;2023;2;40-59;M;Ausland;Kreis Ost;Neudorf;393
2023-02;2023;2;40-59;M;Ausland;Kreis Ost;Rotmonten;99
2023-02;2023;2;40-59;M;Schweiz;Kreis Centrum;Rosenberg;295
2023-02;2023;2;40-59;M;Schweiz;Kreis Centrum;St.Jakob;234
2023-02;2023;2;40-59;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;535
2023-02;2023;2;40-59;M;Schweiz;Kreis Ost;Notkersegg;170
2023-02;2023;2;40-59;W;Ausland;Kreis Ost;Notkersegg;47
2023-02;2023;2;40-59;W;Ausland;Kreis West;Lachen;396
2023-02;2023;2;40-59;W;Ausland;Kreis West;Winkeln;197
2023-02;2023;2;40-59;W;Schweiz;Kreis Centrum;Innenstadt;167
2023-02;2023;2;40-59;W;Schweiz;Kreis Centrum;St.Jakob;239
2023-02;2023;2;40-59;W;Schweiz;Kreis Ost;Rotmonten;302
2023-02;2023;2;40-59;W;Schweiz;Kreis Ost;St.Fiden;628
2023-02;2023;2;60-79;M;Ausland;Kreis Centrum;Innenstadt;45
2023-02;2023;2;60-79;M;Ausland;Kreis Ost;St.Fiden;162
2023-02;2023;2;60-79;M;Schweiz;Kreis Centrum;St.Georgen;404
2023-02;2023;2;60-79;M;Schweiz;Kreis Centrum;St.Jakob;201
2023-02;2023;2;60-79;M;Schweiz;Kreis Ost;Notkersegg;154
2023-02;2023;2;60-79;M;Schweiz;Kreis Ost;St.Fiden;425
2023-02;2023;2;60-79;M;Schweiz;Kreis West;Lachen;354
2023-02;2023;2;60-79;M;Schweiz;Kreis West;Winkeln;302
2023-02;2023;2;60-79;W;Ausland;Kreis Centrum;Rosenberg;55
2023-02;2023;2;60-79;W;Ausland;Kreis Centrum;St.Jakob;39
2023-02;2023;2;60-79;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;151
2023-02;2023;2;60-79;W;Ausland;Kreis Ost;St.Fiden;177
2023-02;2023;2;60-79;W;Ausland;Kreis West;Lachen;157
2023-02;2023;2;60-79;W;Schweiz;Kreis Centrum;Riethüsli;317
2023-02;2023;2;60-79;W;Schweiz;Kreis Centrum;St.Georgen;484
2023-02;2023;2;60-79;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;541
2023-02;2023;2;60-79;W;Schweiz;Kreis Ost;Neudorf;937
2023-02;2023;2;60-79;W;Schweiz;Kreis Ost;Notkersegg;200
2023-02;2023;2;60-79;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;28
2023-02;2023;2;80+;M;Ausland;Kreis Ost;Rotmonten;4
2023-02;2023;2;80+;M;Ausland;Kreis West;Bruggen;32
2023-02;2023;2;80+;M;Ausland;Kreis West;Lachen;18
2023-02;2023;2;80+;M;Schweiz;Kreis Centrum;Riethüsli;42
2023-02;2023;2;80+;M;Schweiz;Kreis Centrum;St.Jakob;56
2023-02;2023;2;80+;M;Schweiz;Kreis Ost;Neudorf;229
2023-02;2023;2;80+;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;17
2023-02;2023;2;80+;W;Ausland;Kreis Centrum;Riethüsli;8
2023-02;2023;2;80+;W;Ausland;Kreis Centrum;St.Georgen;6
2023-02;2023;2;80+;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;32
2023-03;2023;3;0-17;M;Ausland;Kreis Centrum;Innenstadt;23
2023-03;2023;3;0-17;M;Ausland;Kreis West;Bruggen;476
2023-03;2023;3;0-17;M;Ausland;Kreis West;Winkeln;162
2023-03;2023;3;0-17;M;Schweiz;Kreis Centrum;Riethüsli;228
2023-03;2023;3;0-17;M;Schweiz;Kreis West;Lachen;313
2023-03;2023;3;0-17;W;Ausland;Kreis Centrum;Innenstadt;23
2023-03;2023;3;0-17;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;63
2023-03;2023;3;0-17;W;Ausland;Kreis Centrum;Riethüsli;98
2023-03;2023;3;0-17;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;258
2023-03;2023;3;0-17;W;Ausland;Kreis West;Lachen;247
2023-03;2023;3;0-17;W;Schweiz;Kreis Centrum;Riethüsli;208
2023-03;2023;3;0-17;W;Schweiz;Kreis Ost;Notkersegg;138
2023-03;2023;3;18-39;M;Schweiz;Kreis Ost;Neudorf;771
2023-03;2023;3;18-39;M;Schweiz;Kreis Ost;St.Fiden;903
2023-03;2023;3;18-39;W;Ausland;Kreis Centrum;Rosenberg;357
2023-03;2023;3;18-39;W;Schweiz;Kreis Centrum;St.Georgen;648
2023-03;2023;3;18-39;W;Schweiz;Kreis Ost;Rotmonten;225
2023-03;2023;3;18-39;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;24
2023-03;2023;3;40-59;M;Ausland;Kreis Ost;Rotmonten;98
2023-03;2023;3;40-59;M;Ausland;Kreis Ost;St.Fiden;571
2023-03;2023;3;40-59;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;344
2023-03;2023;3;40-59;M;Schweiz;Kreis Centrum;Rosenberg;296
2023-03;2023;3;40-59;M;Schweiz;Kreis Centrum;St.Jakob;233
2023-03;2023;3;40-59;M;Schweiz;Kreis West;Winkeln;365
2023-03;2023;3;40-59;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;49
2023-03;2023;3;40-59;W;Ausland;Kreis Centrum;Innenstadt;80
2023-03;2023;3;40-59;W;Ausland;Kreis Centrum;Riethüsli;158
2023-03;2023;3;40-59;W;Ausland;Kreis West;Bruggen;640
2023-03;2023;3;40-59;W;Schweiz;Kreis Centrum;Innenstadt;166
2023-03;2023;3;40-59;W;Schweiz;Kreis Ost;St.Fiden;630
2023-03;2023;3;40-59;W;Schweiz;Kreis West;Winkeln;350
2023-03;2023;3;60-79;M;Ausland;Nicht zuteilbar;nicht zuteilbar;7
2023-03;2023;3;60-79;M;Schweiz;Kreis West;Bruggen;892
2023-03;2023;3;60-79;M;Schweiz;Kreis West;Lachen;351
2023-03;2023;3;60-79;M;Schweiz;Kreis West;Winkeln;301
2023-03;2023;3;60-79;W;Ausland;Kreis Centrum;Rosenberg;56
2023-03;2023;3;60-79;W;Ausland;Kreis Centrum;St.Jakob;39
2023-03;2023;3;60-79;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;150
2023-03;2023;3;60-79;W;Ausland;Kreis Ost;Notkersegg;24
2023-03;2023;3;60-79;W;Ausland;Kreis West;Bruggen;231
2023-03;2023;3;60-79;W;Schweiz;Kreis Centrum;Innenstadt;151
2023-03;2023;3;60-79;W;Schweiz;Kreis Centrum;Riethüsli;322
2023-03;2023;3;60-79;W;Schweiz;Kreis Centrum;Rosenberg;327
2023-03;2023;3;60-79;W;Schweiz;Kreis Ost;Neudorf;936
2023-03;2023;3;60-79;W;Schweiz;Kreis Ost;Rotmonten;299
2023-03;2023;3;60-79;W;Schweiz;Kreis West;Lachen;406
2023-03;2023;3;60-79;W;Schweiz;Kreis West;Winkeln;357
2023-03;2023;3;60-79;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;28
2023-03;2023;3;80+;M;Ausland;Kreis Centrum;Riethüsli;9
2023-03;2023;3;80+;M;Ausland;Kreis Ost;Neudorf;26
2023-03;2023;3;80+;M;Ausland;Kreis Ost;Rotmonten;4
2023-03;2023;3;80+;M;Ausland;Kreis West;Bruggen;35
2023-03;2023;3;80+;M;Schweiz;Kreis Centrum;Riethüsli;42
2023-03;2023;3;80+;M;Schweiz;Kreis Centrum;St.Jakob;57
2023-03;2023;3;80+;M;Schweiz;Kreis West;Bruggen;209
2023-03;2023;3;80+;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;28
2023-03;2023;3;80+;W;Ausland;Kreis Centrum;St.Jakob;14
2023-03;2023;3;80+;W;Ausland;Kreis Ost;Rotmonten;12
2023-03;2023;3;80+;W;Schweiz;Kreis Centrum;St.Jakob;120
2023-03;2023;3;80+;W;Schweiz;Kreis Ost;Neudorf;464
2023-03;2023;3;80+;W;Schweiz;Kreis West;Winkeln;100
2023-04;2023;4;0-17;M;Ausland;Kreis Centrum;Riethüsli;101
2023-04;2023;4;0-17;M;Ausland;Kreis Centrum;Rosenberg;158
2023-04;2023;4;0-17;M;Ausland;Kreis Centrum;St.Georgen;71
2023-04;2023;4;0-17;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;329
2023-04;2023;4;0-17;M;Ausland;Kreis Ost;Neudorf;259
2023-04;2023;4;0-17;M;Ausland;Kreis West;Lachen;258
2023-04;2023;4;0-17;M;Ausland;Nicht zuteilbar;nicht zuteilbar;9
2023-04;2023;4;0-17;M;Schweiz;Kreis Centrum;Innenstadt;34
2023-04;2023;4;0-17;M;Schweiz;Kreis Centrum;Rosenberg;145
2023-04;2023;4;0-17;M;Schweiz;Kreis West;Bruggen;786
2023-04;2023;4;0-17;W;Ausland;Kreis Centrum;Riethüsli;93
2023-04;2023;4;0-17;W;Ausland;Kreis Centrum;Rosenberg;128
2023-04;2023;4;0-17;W;Ausland;Kreis West;Winkeln;151
2023-04;2023;4;0-17;W;Schweiz;Kreis Centrum;Innenstadt;35
2023-04;2023;4;0-17;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;162
2023-04;2023;4;0-17;W;Schweiz;Kreis Centrum;Riethüsli;211
2023-04;2023;4;0-17;W;Schweiz;Kreis Centrum;Rosenberg;116
2023-04;2023;4;0-17;W;Schweiz;Kreis Ost;Notkersegg;141
2023-04;2023;4;0-17;W;Schweiz;Kreis Ost;Rotmonten;170
2023-04;2023;4;18-39;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;789
2023-04;2023;4;18-39;M;Ausland;Kreis Ost;St.Fiden;748
2023-04;2023;4;18-39;M;Ausland;Kreis West;Bruggen;903
2023-04;2023;4;18-39;W;Ausland;Kreis Ost;Neudorf;435
2023-04;2023;4;18-39;W;Ausland;Kreis Ost;Rotmonten;98
2023-04;2023;4;18-39;W;Ausland;Kreis West;Bruggen;816
2023-04;2023;4;18-39;W;Schweiz;Kreis Centrum;Innenstadt;545
2023-04;2023;4;18-39;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;688
2023-04;2023;4;18-39;W;Schweiz;Kreis Centrum;Rosenberg;718
2023-04;2023;4;18-39;W;Schweiz;Kreis Centrum;St.Jakob;525
2023-04;2023;4;18-39;W;Schweiz;Kreis West;Lachen;873
2023-04;2023;4;40-59;M;Ausland;Kreis Centrum;Rosenberg;193
2023-04;2023;4;40-59;M;Ausland;Kreis West;Bruggen;743
2023-04;2023;4;40-59;M;Schweiz;Kreis Centrum;Riethüsli;368
2023-04;2023;4;40-59;M;Schweiz;Kreis West;Lachen;479
2023-04;2023;4;40-59;W;Ausland;Kreis Centrum;St.Jakob;140
2023-04;2023;4;40-59;W;Schweiz;Kreis Centrum;Rosenberg;258
2023-04;2023;4;40-59;W;Schweiz;Kreis Centrum;St.Jakob;238
2023-04;2023;4;40-59;W;Schweiz;Kreis Ost;Neudorf;730
2023-04;2023;4;60-79;M;Ausland;Kreis Centrum;St.Jakob;41
2023-04;2023;4;60-79;M;Ausland;Kreis Ost;Neudorf;134
2023-04;2023;4;60-79;M;Ausland;Kreis West;Lachen;165
2023-04;2023;4;60-79;M;Ausland;Kreis West;Winkeln;84
2023-04;2023;4;60-79;M;Schweiz;Kreis Ost;Rotmonten;256
2023-04;2023;4;60-79;M;Schweiz;Kreis Ost;St.Fiden;425
2023-04;2023;4;60-79;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;36
2023-04;2023;4;60-79;W;Ausland;Kreis Centrum;St.Jakob;38
2023-04;2023;4;60-79;W;Ausland;Kreis Ost;Neudorf;183
2023-04;2023;4;60-79;W;Ausland;Kreis West;Winkeln;80
2023-04;2023;4;60-79;W;Schweiz;Kreis Centrum;Innenstadt;149
2023-04;2023;4;60-79;W;Schweiz;Kreis West;Lachen;408
2023-04;2023;4;80+;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;13
2023-04;2023;4;80+;M;Ausland;Kreis Centrum;Riethüsli;9
2023-04;2023;4;80+;M;Ausland;Kreis Ost;St.Fiden;14
2023-04;2023;4;80+;M;Schweiz;Kreis Centrum;Innenstadt;39
2023-04;2023;4;80+;M;Schweiz;Kreis Ost;Neudorf;235
2023-04;2023;4;80+;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;26
2023-04;2023;4;80+;W;Ausland;Kreis Ost;Rotmonten;12
2023-04;2023;4;80+;W;Schweiz;Kreis Centrum;St.Georgen;148
2023-04;2023;4;80+;W;Schweiz;Kreis Ost;Neudorf;464
2023-04;2023;4;80+;W;Schweiz;Kreis Ost;St.Fiden;201
2023-04;2023;4;80+;W;Schweiz;Kreis West;Bruggen;359
2023-05;2023;5;0-17;M;Ausland;Kreis Centrum;Riethüsli;99
2023-05;2023;5;0-17;M;Ausland;Kreis Centrum;St.Jakob;60
2023-05;2023;5;0-17;M;Ausland;Kreis Ost;Neudorf;259
2023-05;2023;5;0-17;M;Ausland;Kreis Ost;Rotmonten;58
2023-05;2023;5;0-17;M;Schweiz;Kreis Ost;Notkersegg;123
2023-05;2023;5;0-17;M;Schweiz;Kreis Ost;St.Fiden;376
2023-05;2023;5;0-17;M;Schweiz;Kreis West;Winkeln;377
2023-05;2023;5;0-17;W;Ausland;Kreis Centrum;St.Georgen;60
2023-05;2023;5;0-17;W;Ausland;Kreis West;Bruggen;443
2023-05;2023;5;0-17;W;Schweiz;Kreis Centrum;St.Jakob;143
2023-05;2023;5;0-17;W;Schweiz;Kreis West;Winkeln;306
2023-05;2023;5;0-17;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;12
2023-05;2023;5;18-39;M;Ausland;Kreis Centrum;Riethüsli;284
2023-05;2023;5;18-39;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;680
2023-05;2023;5;18-39;M;Schweiz;Kreis West;Bruggen;1407
2023-05;2023;5;18-39;W;Ausland;Kreis Centrum;St.Jakob;296
2023-05;2023;5;18-39;W;Ausland;Kreis Ost;Notkersegg;76
2023-05;2023;5;18-39;W;Ausland;Kreis West;Lachen;515
2023-05;2023;5;18-39;W;Schweiz;Kreis Centrum;Innenstadt;540
2023-05;2023;5;18-39;W;Schweiz;Kreis Centrum;Riethüsli;597
2023-05;2023;5;18-39;W;Schweiz;Kreis Centrum;St.Georgen;654
2023-05;2023;5;18-39;W;Schweiz;Kreis Ost;Neudorf;781
2023-05;2023;5;18-39;W;Schweiz;Kreis West;Lachen;872
2023-05;2023;5;18-39;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;32
2023-05;2023;5;40-59;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;419
2023-05;2023;5;40-59;M;Ausland;Kreis Ost;Rotmonten;99
2023-05;2023;5;40-59;M;Schweiz;Kreis Centrum;St.Jakob;238
2023-05;2023;5;40-59;M;Schweiz;Kreis Ost;Notkersegg;167
2023-05;2023;5;40-59;M;Schweiz;Kreis West;Winkeln;366
2023-05;2023;5;40-59;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;46
2023-05;2023;5;40-59;W;Ausland;Nicht zuteilbar;nicht zuteilbar;19
2023-05;2023;5;40-59;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;26
2023-05;2023;5;60-79;M;Ausland;Nicht zuteilbar;nicht zuteilbar;7
2023-05;2023;5;60-79;M;Schweiz;Kreis Centrum;St.Georgen;418
2023-05;2023;5;60-79;W;Ausland;Kreis Centrum;Innenstadt;28
2023-05;2023;5;60-79;W;Ausland;Kreis Ost;St.Fiden;182
2023-05;2023;5;60-79;W;Ausland;Nicht zuteilbar;nicht zuteilbar;3
2023-05;2023;5;60-79;W;Schweiz;Kreis Centrum;Innenstadt;153
2023-05;2023;5;60-79;W;Schweiz;Kreis Centrum;Riethüsli;319
2023-05;2023;5;60-79;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;537
2023-05;2023;5;60-79;W;Schweiz;Kreis Ost;Rotmonten;305
2023-05;2023;5;60-79;W;Schweiz;Kreis West;Winkeln;356
2023-05;2023;5;60-79;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;28
2023-05;2023;5;80+;M;Ausland;Kreis Centrum;St.Georgen;6
2023-05;2023;5;80+;M;Ausland;Kreis Ost;Notkersegg;10
2023-05;2023;5;80+;M;Ausland;Kreis Ost;Rotmonten;4
2023-05;2023;5;80+;M;Ausland;Kreis Ost;St.Fiden;14
2023-05;2023;5;80+;M;Schweiz;Kreis Centrum;Rosenberg;53
2023-05;2023;5;80+;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;135
2023-05;2023;5;80+;M;Schweiz;Kreis Ost;Rotmonten;85
2023-05;2023;5;80+;M;Schweiz;Kreis Ost;St.Fiden;93
2023-05;2023;5;80+;M;Schweiz;Kreis West;Winkeln;73
2023-05;2023;5;80+;W;Ausland;Kreis Centrum;Rosenberg;18
2023-05;2023;5;80+;W;Ausland;Kreis Centrum;St.Jakob;16
2023-05;2023;5;80+;W;Ausland;Kreis Ost;St.Fiden;34
2023-05;2023;5;80+;W;Schweiz;Kreis Centrum;Riethüsli;78
2023-05;2023;5;80+;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;220
2023-05;2023;5;80+;W;Schweiz;Kreis Ost;St.Fiden;200
2023-06;2023;6;0-17;M;Ausland;Kreis Centrum;Rosenberg;144
2023-06;2023;6;0-17;M;Ausland;Kreis Centrum;St.Jakob;62
2023-06;2023;6;0-17;M;Ausland;Kreis West;Lachen;252
2023-06;2023;6;0-17;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;171
2023-06;2023;6;0-17;M;Schweiz;Kreis Centrum;Rosenberg;143
2023-06;2023;6;0-17;M;Schweiz;Kreis Ost;Neudorf;474
2023-06;2023;6;0-17;M;Schweiz;Kreis Ost;St.Fiden;368
2023-06;2023;6;0-17;M;Schweiz;Kreis West;Winkeln;379
2023-06;2023;6;0-17;W;Ausland;Kreis Ost;Rotmonten;59
2023-06;2023;6;0-17;W;Schweiz;Kreis West;Bruggen;736
2023-06;2023;6;0-17;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;13
2023-06;2023;6;18-39;M;Ausland;Kreis Centrum;Rosenberg;454
2023-06;2023;6;18-39;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;753
2023-06;2023;6;18-39;M;Ausland;Kreis West;Bruggen;901
2023-06;2023;6;18-39;M;Schweiz;Kreis Centrum;Rosenberg;769
2023-06;2023;6;18-39;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;1002
2023-06;2023;6;18-39;M;Schweiz;Kreis Ost;Neudorf;772
2023-06;2023;6;18-39;M;Schweiz;Kreis Ost;Rotmonten;262
2023-06;2023;6;18-39;W;Ausland;Kreis Centrum;Innenstadt;224
2023-06;2023;6;18-39;W;Ausland;Kreis West;Winkeln;279
2023-06;2023;6;18-39;W;Schweiz;Kreis Ost;Neudorf;781
2023-06;2023;6;18-39;W;Schweiz;Kreis West;Bruggen;1392
2023-06;2023;6;40-59;M;Ausland;Kreis Centrum;St.Jakob;148
2023-06;2023;6;40-59;M;Ausland;Kreis West;Bruggen;757
2023-06;2023;6;40-59;M;Ausland;Nicht zuteilbar;nicht zuteilbar;28
2023-06;2023;6;40-59;M;Schweiz;Kreis Ost;Rotmonten;236
2023-06;2023;6;40-59;M;Schweiz;Kreis West;Winkeln;367
2023-06;2023;6;40-59;W;Ausland;Kreis Centrum;Innenstadt;77
2023-06;2023;6;40-59;W;Ausland;Kreis Centrum;Riethüsli;163
2023-06;2023;6;40-59;W;Ausland;Kreis Centrum;Rosenberg;159
2023-06;2023;6;40-59;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;418
2023-06;2023;6;40-59;W;Ausland;Kreis Ost;Neudorf;390
2023-06;2023;6;40-59;W;Schweiz;Kreis Centrum;Rosenberg;260
2023-06;2023;6;40-59;W;Schweiz;Kreis Centrum;St.Jakob;236
2023-06;2023;6;40-59;W;Schweiz;Kreis Ost;St.Fiden;614
2023-06;2023;6;60-79;M;Ausland;Kreis Centrum;Innenstadt;49
2023-06;2023;6;60-79;M;Ausland;Kreis Centrum;Riethüsli;56
2023-06;2023;6;60-79;M;Ausland;Kreis Centrum;St.Jakob;40
2023-06;2023;6;60-79;M;Schweiz;Kreis Centrum;Rosenberg;252
2023-06;2023;6;60-79;M;Schweiz;Kreis West;Lachen;362
2023-06;2023;6;60-79;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;56
2023-06;2023;6;60-79;W;Ausland;Kreis Centrum;St.Georgen;33
2023-06;2023;6;60-79;W;Ausland;Kreis West;Bruggen;237
2023-06;2023;6;60-79;W;Schweiz;Kreis Centrum;Riethüsli;320
2023-06;2023;6;60-79;W;Schweiz;Kreis Centrum;St.Georgen;493
