monat_jahr;jahr;monat;altersklasse;geschlecht;staat_d;kreis;quartiergruppe;anzahl
2019-12;2019;12;18-39;M;Schweiz;Kreis West;Winkeln;506
2013-11;2013;11;60-79;M;Schweiz;Kreis Centrum;Innenstadt;149
2015-04;2015;4;60-79;W;Ausland;Kreis West;Bruggen;129
2019-12;2019;12;18-39;W;Ausland;Kreis Ost;Notkersegg;68
2013-11;2013;11;60-79;M;Schweiz;Kreis Centrum;Riethüsli;240
2015-04;2015;4;60-79;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;287
2019-12;2019;12;18-39;W;Ausland;Kreis West;Bruggen;771
2013-11;2013;11;60-79;M;Schweiz;Kreis Ost;Rotmonten;225
2015-04;2015;4;60-79;W;Schweiz;Kreis Centrum;Riethüsli;324
2019-12;2019;12;18-39;W;Ausland;Kreis West;Lachen;517
2013-11;2013;11;60-79;W;Ausland;Kreis Centrum;Riethüsli;43
2015-04;2015;4;60-79;W;Schweiz;Kreis Centrum;Rosenberg;291
2019-12;2019;12;18-39;W;Ausland;Kreis West;Winkeln;248
2013-11;2013;11;60-79;W;Ausland;Kreis Ost;Notkersegg;14
2015-04;2015;4;60-79;W;Schweiz;Kreis Ost;Notkersegg;181
2019-12;2019;12;18-39;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;650
2013-11;2013;11;60-79;W;Ausland;Kreis West;Bruggen;115
2015-04;2015;4;80+;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;8
2019-12;2019;12;18-39;W;Schweiz;Kreis Centrum;Rosenberg;658
2013-11;2013;11;60-79;W;Ausland;Kreis West;Lachen;104
2015-04;2015;4;80+;M;Schweiz;Kreis Ost;Notkersegg;35
2019-12;2019;12;18-39;W;Schweiz;Kreis Centrum;St.Georgen;635
2013-11;2013;11;60-79;W;Schweiz;Kreis Centrum;St.Georgen;419
2015-04;2015;4;80+;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;13
2019-12;2019;12;18-39;W;Schweiz;Kreis Ost;Rotmonten;239
2013-11;2013;11;60-79;W;Schweiz;Kreis Ost;Neudorf;1016
2015-04;2015;4;80+;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;22
2019-12;2019;12;18-39;W;Schweiz;Kreis West;Bruggen;1334
2013-11;2013;11;60-79;W;Schweiz;Kreis Ost;St.Fiden;565
2015-04;2015;4;80+;W;Ausland;Kreis Ost;Notkersegg;1
2019-12;2019;12;18-39;W;Schweiz;Kreis West;Lachen;848
2013-11;2013;11;60-79;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;46
2015-04;2015;4;80+;W;Ausland;Nicht zuteilbar;nicht zuteilbar;6
2019-12;2019;12;40-59;M;Ausland;Kreis Ost;St.Fiden;478
2013-11;2013;11;80+;M;Ausland;Kreis Centrum;Riethüsli;4
2015-04;2015;4;80+;W;Schweiz;Kreis Centrum;St.Georgen;147
2019-12;2019;12;40-59;M;Schweiz;Kreis Ost;Rotmonten;255
2013-11;2013;11;80+;M;Ausland;Kreis Ost;Notkersegg;2
2015-04;2015;4;80+;W;Schweiz;Kreis Ost;Notkersegg;56
2019-12;2019;12;40-59;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;58
2013-11;2013;11;80+;M;Ausland;Kreis Ost;St.Fiden;18
2015-05;2015;5;0-17;M;Ausland;Kreis Centrum;Riethüsli;100
2019-12;2019;12;40-59;W;Ausland;Kreis Centrum;Rosenberg;147
2013-11;2013;11;80+;M;Ausland;Kreis West;Winkeln;6
2015-05;2015;5;0-17;M;Ausland;Kreis Ost;Neudorf;199
2019-12;2019;12;40-59;W;Ausland;Kreis Ost;Notkersegg;46
2013-11;2013;11;80+;M;Schweiz;Kreis Centrum;Innenstadt;30
2015-05;2015;5;0-17;M;Ausland;Kreis West;Bruggen;422
2019-12;2019;12;40-59;W;Schweiz;Kreis West;Lachen;524
2013-11;2013;11;80+;M;Schweiz;Kreis Centrum;Riethüsli;54
2015-05;2015;5;0-17;M;Ausland;Nicht zuteilbar;nicht zuteilbar;14
2019-12;2019;12;60-79;M;Ausland;Kreis Centrum;St.Jakob;37
2013-11;2013;11;80+;M;Schweiz;Kreis Centrum;Rosenberg;74
2015-05;2015;5;0-17;M;Schweiz;Kreis Centrum;Innenstadt;40
2019-12;2019;12;60-79;M;Ausland;Kreis West;Winkeln;80
2013-11;2013;11;80+;M;Schweiz;Kreis Centrum;St.Georgen;84
2015-05;2015;5;0-17;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;171
2019-12;2019;12;60-79;M;Schweiz;Kreis Centrum;Innenstadt;152
2013-11;2013;11;80+;M;Schweiz;Kreis Centrum;St.Jakob;66
2015-05;2015;5;0-17;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;357
2019-12;2019;12;60-79;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;439
2013-11;2013;11;80+;M;Schweiz;Kreis Ost;St.Fiden;98
2015-05;2015;5;0-17;M;Schweiz;Kreis Ost;St.Fiden;417
2019-12;2019;12;60-79;M;Schweiz;Kreis Ost;Notkersegg;150
2013-11;2013;11;80+;M;Schweiz;Kreis West;Lachen;85
2015-05;2015;5;0-17;W;Ausland;Kreis Ost;St.Fiden;263
2019-12;2019;12;60-79;M;Schweiz;Kreis West;Lachen;343
2013-11;2013;11;80+;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;10
2015-05;2015;5;0-17;W;Schweiz;Kreis Centrum;St.Georgen;380
2019-12;2019;12;60-79;W;Ausland;Kreis Centrum;Innenstadt;26
2013-11;2013;11;80+;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;15
2015-05;2015;5;18-39;M;Ausland;Kreis Centrum;Riethüsli;289
2019-12;2019;12;60-79;W;Ausland;Kreis Ost;Notkersegg;18
2013-11;2013;11;80+;W;Ausland;Kreis Centrum;Riethüsli;4
2015-05;2015;5;18-39;M;Ausland;Kreis Centrum;Rosenberg;440
2019-12;2019;12;60-79;W;Schweiz;Kreis Centrum;Riethüsli;330
2013-11;2013;11;80+;W;Ausland;Kreis Centrum;Rosenberg;8
2015-05;2015;5;18-39;M;Ausland;Kreis Ost;Rotmonten;115
2019-12;2019;12;60-79;W;Schweiz;Kreis Centrum;Rosenberg;306
2013-11;2013;11;80+;W;Ausland;Kreis Centrum;St.Jakob;2
2015-05;2015;5;18-39;M;Ausland;Kreis Ost;St.Fiden;718
2019-12;2019;12;60-79;W;Schweiz;Kreis Centrum;St.Jakob;260
2013-11;2013;11;80+;W;Ausland;Kreis Ost;Neudorf;25
2015-05;2015;5;18-39;M;Ausland;Kreis West;Lachen;637
2019-12;2019;12;60-79;W;Schweiz;Kreis Ost;Neudorf;965
2013-11;2013;11;80+;W;Schweiz;Kreis Centrum;Riethüsli;83
2015-05;2015;5;18-39;M;Schweiz;Kreis Centrum;St.Georgen;640
2019-12;2019;12;60-79;W;Schweiz;Kreis Ost;Rotmonten;307
2013-11;2013;11;80+;W;Schweiz;Kreis Centrum;St.Jakob;131
2015-05;2015;5;18-39;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;1124
2019-12;2019;12;60-79;W;Schweiz;Kreis West;Bruggen;983
2013-11;2013;11;80+;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;250
2015-05;2015;5;18-39;M;Schweiz;Kreis Ost;St.Fiden;926
2019-12;2019;12;80+;M;Ausland;Kreis Ost;St.Fiden;24
2013-11;2013;11;80+;W;Schweiz;Kreis Ost;Notkersegg;56
2015-05;2015;5;18-39;M;Schweiz;Kreis West;Bruggen;1320
2019-12;2019;12;80+;M;Schweiz;Kreis Centrum;St.Jakob;54
2013-11;2013;11;80+;W;Schweiz;Kreis Ost;Rotmonten;139
2015-05;2015;5;18-39;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;311
2019-12;2019;12;80+;M;Schweiz;Kreis Ost;Rotmonten;77
2013-12;2013;12;0-17;M;Ausland;Kreis Centrum;Rosenberg;180
2015-05;2015;5;18-39;W;Ausland;Kreis Centrum;Riethüsli;274
2019-12;2019;12;80+;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;20
2013-12;2013;12;0-17;M;Ausland;Kreis Centrum;St.Jakob;67
2015-05;2015;5;18-39;W;Ausland;Kreis Centrum;St.Georgen;192
2019-12;2019;12;80+;W;Ausland;Kreis Ost;Notkersegg;2
2013-12;2013;12;0-17;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;257
2015-05;2015;5;18-39;W;Ausland;Kreis Ost;Notkersegg;67
2019-12;2019;12;80+;W;Ausland;Kreis West;Lachen;21
2013-12;2013;12;0-17;M;Ausland;Kreis West;Lachen;209
2015-05;2015;5;18-39;W;Schweiz;Kreis Centrum;St.Georgen;714
2019-12;2019;12;80+;W;Ausland;Nicht zuteilbar;nicht zuteilbar;5
2013-12;2013;12;0-17;M;Ausland;Nicht zuteilbar;nicht zuteilbar;10
2015-05;2015;5;18-39;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;1022
2019-12;2019;12;80+;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;302
2013-12;2013;12;0-17;M;Schweiz;Kreis Centrum;Rosenberg;136
2015-05;2015;5;18-39;W;Schweiz;Kreis Ost;Neudorf;827
2018-01;2018;1;0-17;M;Ausland;Kreis Centrum;Riethüsli;99
2013-12;2013;12;0-17;M;Schweiz;Kreis Ost;Rotmonten;188
2015-05;2015;5;18-39;W;Schweiz;Kreis Ost;St.Fiden;1013
2018-01;2018;1;0-17;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;317
2013-12;2013;12;0-17;W;Ausland;Kreis Centrum;St.Georgen;63
2015-05;2015;5;40-59;M;Ausland;Kreis Ost;Neudorf;300
2018-01;2018;1;0-17;M;Ausland;Kreis Ost;Notkersegg;29
2013-12;2013;12;0-17;W;Schweiz;Kreis Centrum;Riethüsli;247
2015-05;2015;5;40-59;M;Schweiz;Kreis Centrum;Innenstadt;221
2018-01;2018;1;0-17;M;Ausland;Kreis Ost;Rotmonten;63
2013-12;2013;12;0-17;W;Schweiz;Kreis Centrum;Rosenberg;116
2015-05;2015;5;40-59;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;362
2018-01;2018;1;0-17;M;Ausland;Kreis Ost;St.Fiden;264
2013-12;2013;12;18-39;M;Ausland;Kreis Centrum;Innenstadt;303
2015-05;2015;5;40-59;M;Schweiz;Kreis Centrum;Rosenberg;305
2018-01;2018;1;0-17;M;Ausland;Nicht zuteilbar;nicht zuteilbar;13
2013-12;2013;12;18-39;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;378
2015-05;2015;5;40-59;M;Schweiz;Kreis Ost;Notkersegg;175
2018-01;2018;1;0-17;M;Schweiz;Kreis Ost;Rotmonten;192
2013-12;2013;12;18-39;M;Ausland;Kreis Ost;St.Fiden;686
2015-05;2015;5;40-59;M;Schweiz;Kreis Ost;St.Fiden;621
2018-01;2018;1;0-17;M;Schweiz;Kreis Ost;St.Fiden;402
2013-12;2013;12;18-39;M;Ausland;Kreis West;Winkeln;253
2015-05;2015;5;40-59;W;Ausland;Kreis West;Lachen;333
2018-01;2018;1;0-17;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;75
2013-12;2013;12;18-39;M;Schweiz;Kreis Centrum;Innenstadt;617
2015-05;2015;5;40-59;W;Ausland;Kreis West;Winkeln;155
2018-01;2018;1;0-17;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;271
2013-12;2013;12;18-39;M;Schweiz;Kreis Ost;Langgass-Heiligkreuz;1082
2015-05;2015;5;40-59;W;Schweiz;Kreis Centrum;Innenstadt;185
2018-01;2018;1;0-17;W;Ausland;Kreis Ost;Neudorf;175
2013-12;2013;12;18-39;M;Schweiz;Kreis Ost;Neudorf;845
2015-05;2015;5;40-59;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;395
2018-01;2018;1;0-17;W;Ausland;Kreis Ost;Rotmonten;62
2013-12;2013;12;18-39;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;321
2015-05;2015;5;40-59;W;Schweiz;Kreis Centrum;St.Georgen;648
2018-01;2018;1;0-17;W;Ausland;Kreis Ost;St.Fiden;279
2013-12;2013;12;18-39;W;Ausland;Kreis Centrum;St.Georgen;179
2015-05;2015;5;40-59;W;Schweiz;Kreis Ost;Neudorf;883
2018-01;2018;1;0-17;W;Schweiz;Kreis Centrum;Innenstadt;20
2013-12;2013;12;18-39;W;Ausland;Kreis Centrum;St.Jakob;265
2015-05;2015;5;40-59;W;Schweiz;Kreis West;Bruggen;1166
2018-01;2018;1;0-17;W;Schweiz;Kreis Centrum;St.Jakob;132
2013-12;2013;12;18-39;W;Ausland;Kreis Ost;Neudorf;377
2015-05;2015;5;40-59;W;Schweiz;Kreis West;Lachen;546
2018-01;2018;1;0-17;W;Schweiz;Kreis Ost;Rotmonten;168
2013-12;2013;12;18-39;W;Ausland;Kreis West;Bruggen;755
2015-05;2015;5;60-79;M;Ausland;Kreis Centrum;Innenstadt;39
2018-01;2018;1;0-17;W;Schweiz;Kreis West;Bruggen;673
2013-12;2013;12;18-39;W;Schweiz;Kreis Centrum;Riethüsli;605
2015-05;2015;5;60-79;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;51
2018-01;2018;1;0-17;W;Schweiz;Kreis West;Winkeln;274
2013-12;2013;12;18-39;W;Schweiz;Kreis Ost;Notkersegg;159
2015-05;2015;5;60-79;M;Ausland;Kreis Centrum;Rosenberg;71
2018-01;2018;1;0-17;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;8
2013-12;2013;12;18-39;W;Schweiz;Kreis Ost;Rotmonten;216
2015-05;2015;5;60-79;M;Ausland;Kreis Ost;Neudorf;116
2018-01;2018;1;18-39;M;Ausland;Kreis Centrum;Rosenberg;402
2013-12;2013;12;40-59;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;198
2015-05;2015;5;60-79;M;Ausland;Kreis Ost;Rotmonten;21
2018-01;2018;1;18-39;M;Ausland;Kreis Centrum;St.Jakob;415
2013-12;2013;12;40-59;M;Ausland;Kreis Centrum;Riethüsli;163
2015-05;2015;5;60-79;M;Ausland;Nicht zuteilbar;nicht zuteilbar;8
2018-01;2018;1;18-39;M;Ausland;Kreis Ost;Neudorf;366
2013-12;2013;12;40-59;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;400
2015-05;2015;5;60-79;M;Schweiz;Kreis West;Winkeln;285
2018-01;2018;1;18-39;M;Ausland;Kreis Ost;Rotmonten;99
2013-12;2013;12;40-59;M;Ausland;Kreis West;Lachen;390
2015-05;2015;5;60-79;W;Ausland;Kreis Centrum;Innenstadt;32
2018-01;2018;1;18-39;M;Schweiz;Kreis Centrum;Innenstadt;645
2013-12;2013;12;40-59;M;Ausland;Kreis West;Winkeln;181
2015-05;2015;5;60-79;W;Ausland;Kreis Centrum;Rosenberg;49
2018-01;2018;1;18-39;M;Schweiz;Kreis Centrum;Riethüsli;606
2013-12;2013;12;40-59;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;371
2015-05;2015;5;60-79;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;118
2018-01;2018;1;18-39;M;Schweiz;Kreis Centrum;Rosenberg;784
2013-12;2013;12;40-59;M;Schweiz;Kreis Centrum;St.Jakob;278
2015-05;2015;5;60-79;W;Ausland;Kreis West;Winkeln;54
2018-01;2018;1;18-39;M;Schweiz;Kreis Ost;Neudorf;835
2013-12;2013;12;40-59;M;Schweiz;Kreis Ost;Neudorf;761
2015-05;2015;5;60-79;W;Schweiz;Kreis Centrum;Rosenberg;293
2018-01;2018;1;18-39;M;Schweiz;Kreis Ost;Notkersegg;167
2013-12;2013;12;40-59;M;Schweiz;Kreis West;Winkeln;371
2015-05;2015;5;60-79;W;Schweiz;Kreis Centrum;St.Georgen;423
2018-01;2018;1;18-39;M;Schweiz;Kreis West;Bruggen;1325
2013-12;2013;12;40-59;W;Ausland;Kreis Centrum;St.Jakob;135
2015-05;2015;5;60-79;W;Schweiz;Kreis Ost;Notkersegg;178
2018-01;2018;1;18-39;W;Ausland;Kreis Centrum;St.Jakob;280
2013-12;2013;12;40-59;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;336
2015-05;2015;5;60-79;W;Schweiz;Kreis West;Lachen;395
2018-01;2018;1;18-39;W;Ausland;Nicht zuteilbar;nicht zuteilbar;16
2013-12;2013;12;40-59;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;395
2015-05;2015;5;80+;M;Ausland;Kreis Centrum;Innenstadt;2
2018-01;2018;1;18-39;W;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;638
2013-12;2013;12;40-59;W;Schweiz;Kreis Ost;Notkersegg;215
2015-05;2015;5;80+;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;8
2018-01;2018;1;18-39;W;Schweiz;Kreis Ost;Neudorf;811
2013-12;2013;12;60-79;M;Ausland;Kreis Centrum;Innenstadt;37
2015-05;2015;5;80+;M;Ausland;Kreis Ost;Notkersegg;3
2018-01;2018;1;18-39;W;Schweiz;Nicht zuteilbar;nicht zuteilbar;23
2013-12;2013;12;60-79;M;Ausland;Kreis Centrum;Rosenberg;68
2015-05;2015;5;80+;M;Ausland;Kreis Ost;St.Fiden;21
2018-01;2018;1;40-59;M;Ausland;Kreis Centrum;Linsebühl-Dreilinden;215
2013-12;2013;12;60-79;M;Ausland;Kreis Ost;Langgass-Heiligkreuz;129
2015-05;2015;5;80+;M;Ausland;Kreis West;Bruggen;21
2018-01;2018;1;40-59;M;Ausland;Kreis Ost;Notkersegg;40
2013-12;2013;12;60-79;M;Ausland;Kreis Ost;Rotmonten;20
2015-05;2015;5;80+;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;97
2018-01;2018;1;40-59;M;Ausland;Kreis Ost;Rotmonten;83
2013-12;2013;12;60-79;M;Ausland;Nicht zuteilbar;nicht zuteilbar;9
2015-05;2015;5;80+;M;Schweiz;Kreis Centrum;Riethüsli;59
2018-01;2018;1;40-59;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;364
2013-12;2013;12;60-79;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;213
